Epoch [187/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.42%
Epoch [188/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.73%
Epoch [189/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.38%
Epoch [190/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.50%
Epoch [191/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.57%
Epoch [192/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.53%
Epoch [193/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.38%
Epoch [194/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.45%
Epoch [195/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.58%
Epoch [196/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.40%
Epoch [197/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.50%
Epoch [198/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.39%
Epoch [199/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.97%
Epoch [200/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.43%
Epoch [201/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.35%
Epoch [202/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.35%
Epoch [203/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.31%
Epoch [204/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.90%
Epoch [205/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.47%
Epoch [206/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.32%
Epoch [207/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.35%
Epoch [208/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.35%
Epoch [209/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.40%
Epoch [210/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.31%
Epoch [211/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.75%
Epoch [212/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.31%
Epoch [213/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.37%
Epoch [214/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.39%
Epoch [215/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.80%
Epoch [216/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.36%
Epoch [217/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.29%
Epoch [218/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.36%
Epoch [219/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.37%
Epoch [220/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.83%
Epoch [221/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.46%
Epoch [222/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.37%
Epoch [223/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.46%
Epoch [224/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.30%
Epoch [225/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.96%
Epoch [226/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.73%
Epoch [227/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.09%
Epoch [228/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.35%
Epoch [229/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.31%
Epoch [230/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.32%
Epoch [231/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.37%
Epoch [232/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.50%
Epoch [233/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.41%
Epoch [234/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.84%
Epoch [235/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.49%
Epoch [236/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.42%
Epoch [237/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.38%
Epoch [238/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.32%
Epoch [239/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.52%
Epoch [240/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.54%
Epoch [241/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.55%
Epoch [242/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.33%
Epoch [243/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.37%
Epoch [244/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.29%
Epoch [245/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.28%
Epoch [246/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.33%
Epoch [247/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.59%
Epoch [248/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.34%
Epoch [249/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.37%
Epoch [250/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.45%
Epoch [251/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.31%
Epoch [252/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.09%
Epoch [253/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.91%
Epoch [254/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.15%
Epoch [255/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.61%
Epoch [256/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.95%
Epoch [257/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.33%
Epoch [258/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.41%
Epoch [259/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.49%
Epoch [260/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.49%
Epoch [261/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.29%
Epoch [262/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.37%
Epoch [263/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.75%
Epoch [264/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.49%
Epoch [265/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.34%
Epoch [266/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.31%
Epoch [267/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.33%
Epoch [268/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.32%
Epoch [269/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.33%
Epoch [270/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.29%
Epoch [271/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.67%
Epoch [272/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.81%
Epoch [273/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.29%
Epoch [274/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.40%
Epoch [275/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.29%
Epoch [276/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.29%
Epoch [277/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.36%
Epoch [278/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.54%
Epoch [279/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.31%
Epoch [280/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.57%
Epoch [281/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.35%
Epoch [282/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.30%
Epoch [283/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.75%
Epoch [284/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.36%
Epoch [285/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.38%
Epoch [286/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.46%
Epoch [287/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.40%
Epoch [288/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.52%
Epoch [289/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.52%
Epoch [290/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.38%
Epoch [291/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.27%
Epoch [292/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.60%
Epoch [293/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.32%
Epoch [294/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.68%
Epoch [295/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.28%
Epoch [296/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.31%
